gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureCategory_Loyal,TenureCategory_New
0,1,1,0,-0.9924020376385531,1,1,0.5218941645044328,-0.7277568697029967,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,1.0436161483629645,1,0,-1.5053176599945715,-0.5308566538841052,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
1,0,1,0,0.22920887396235737,1,1,1.518883586389189,0.9476608859756874,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
0,0,0,0,-0.0965540357978854,1,0,1.1865537790942702,0.35960912034617304,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,1,1,0.880734693482843,1,0,-1.4720846792650797,-0.5260003705343119,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,0,0,0,0.18848851024232702,1,1,0.455428203045449,0.30663148380297356,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1,1,1,0,0.47353105628253944,1,0,0.7877580103403677,0.7198570488399296,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,1,0,-0.30015585439803716,1,1,1.3194857020122377,0.12562455894704191,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1.5729808767233588,1,1,1.4524176249302052,2.3180157512264477,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,0,0,-0.38159658183809786,1,1,1.1533207983647784,0.0046589555067364005,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
0,0,1,1,0.10704778280226633,1,0,-1.3391527563471122,-0.6447585724519841,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0.880734693482843,1,0,1.552116567118681,1.6478486489549742,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0,1,0,0,-1.2774445836787656,1,1,0.18956435720951403,-0.9763102811515076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,-0.4223169455581282,1,1,0.6548260874224002,-0.20327826792532164,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,1.2064976032430856,1,0,-0.27569737300337216,0.532227919416098,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,1,1,1.6137012404433893,1,1,0.8542239717993515,1.9577678227326913,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,-1.2774445836787656,1,1,-0.3753963151918478,-0.983815446328461,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,1,1,-1.0738427650786138,1,0,-1.5053176599945715,-0.9462896204436946,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0,1,1,1.2879383306831464,1,0,0.15633137648002218,0.9560490117616941,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,-1.2774445836787656,1,0,-1.4720846792650797,-0.9983842963778408,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
1,0,1,0,-0.9924020376385531,1,1,-1.5053176599945715,-0.9361355734395813,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0.758573602322752,1,0,0.6880590681518921,0.9445705238440009,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
1,0,0,0,-0.5851984004382496,1,0,0.6548260874224002,-0.3286586744108938,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1.369379058123207,1,1,1.286252721282746,1.904348705884965,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-1.2774445836787656,1,0,-1.4720846792650797,-0.9983842963778408,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
1,0,0,0,-0.3408762181180675,1,1,-0.30893035373286404,-0.38914147613104655,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,-0.46303730927815856,1,0,-0.6412601610277828,-0.5723558025096115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,-0.748079855318371,1,0,-1.5053176599945715,-0.8822749762873285,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,-1.2774445836787656,1,0,-0.6412601610277828,-0.9873472887646743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,-0.7888002190384014,1,0,-0.30893035373286404,-0.6796355165095904,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0.5549717837226001,1,1,0.8209909910698596,0.8668699902473083,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1.5322605130033284,0,1,-0.6744931417572747,0.34283286877415986,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,-1.2774445836787656,1,0,0.35572926085697343,-0.9741028796288743,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,1,-1.2774445836787656,1,1,-1.5053176599945715,-0.9988257766823675,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
0,1,0,1,-0.0965540357978854,1,1,1.2197867598237622,0.3057485231939202,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,-0.8702409464784621,1,0,-1.5053176599945715,-0.911854156690615,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0,1,1,-1.2774445836787656,1,0,-1.4720846792650797,-0.9983842963778408,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1
1,0,1,1,-0.62591876415828,1,1,-1.3059197756176202,-0.8253240170033891,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
1,0,0,0,-1.1960038562387048,1,0,-1.4388516985355877,-0.9842569266329876,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
0,0,1,1,0.10704778280226633,1,0,-1.5053176599945715,-0.694645846863497,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,0,1,1,-1.0738427650786138,1,0,-0.30893035373286404,-0.8460735913161422,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,-0.8702409464784621,1,1,1.253019740553254,-0.5017189537853455,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,1,1,1,1.1657772395230555,1,0,1.1533207983647784,1.6279820352512744,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
1,0,0,0,0.10704778280226633,1,0,0.35572926085697343,0.1565281802639083,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.6364125111626608,1,1,1.4524176249302052,1.2297668005682247,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,1,0,0.025607055362205634,1,1,0.9539229139878271,0.3578431991280664,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,1,1.6137012404433893,1,1,0.6548260874224002,1.699060364280067,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
1,0,1,1,-0.9924020376385531,1,0,-1.5053176599945715,-0.932603731003368,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0,1,1,-0.0965540357978854,1,0,0.5218941645044328,0.038652938955289415,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,-0.5037576729981889,1,1,1.4524176249302052,-0.03463279159613656,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,-1.1552834925186746,1,1,0.455428203045449,-0.8783016535465886,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,0.3106496014024181,0,0,-0.8074250646752421,-0.3167387061886739,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,-0.055833672077855064,0,0,-1.3059197756176202,-0.6588859421968373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,-0.6666391278783103,1,0,0.15633137648002218,-0.5467499448470651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,-0.4223169455581282,1,1,-1.4720846792650797,-0.7997181593408427,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,1,-1.2774445836787656,1,1,-0.47509525738032343,-0.9851398872420409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0.10704778280226633,1,1,1.1865537790942702,0.5498871315971646,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,-1.2367242199587352,1,0,-0.6412601610277828,-0.9679221553655011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,-0.9924020376385531,1,1,-0.009833527167437194,-0.7507138455383832,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,1.002895784642934,1,1,0.32249628012748155,0.8986565721732279,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,1.4915401492832983,1,1,1.3527186827417297,2.1864546204775026,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,0,-0.015113308357824713,1,1,1.4856506056596972,0.5856470362638242,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
0,0,1,1,1.1657772395230555,1,1,0.28926329939798967,1.0306591832267,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,1,1,0,-0.7888002190384014,1,0,0.9539229139878271,-0.45050723846025265,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,-0.8295205827584317,1,0,-1.3059197756176202,-0.8862482990280685,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,0,0,0,-0.3408762181180675,1,0,-1.3391527563471122,-0.7401183182297432,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,0,0,1,0.9621754209229036,1,1,-1.4388516985355877,-0.46066128546436586,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
1,0,0,1,-1.2774445836787656,1,1,0.18956435720951403,-0.9763102811515076,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,-1.2774445836787656,1,1,0.455428203045449,-0.9727784387152943,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0.18848851024232702,1,1,-1.5053176599945715,-0.7003850908223436,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,0,0.22920887396235737,1,0,-1.4720846792650797,-0.6791940362050638,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1.369379058123207,1,1,0.7877580103403677,1.6416679246916008,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,0.18848851024232702,1,1,1.1865537790942702,0.67482605777821,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,0.47353105628253944,1,0,-1.5053176599945715,-0.6628592649375773,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,1,1,0.7178532386027215,1,0,0.35572926085697343,0.7697443232514425,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0
0,0,0,0,-1.1960038562387048,1,0,-0.6744931417572747,-0.9418748173984279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,1,-0.30015585439803716,1,0,-1.4720846792650797,-0.7926544744684161,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
0,0,1,1,1.125056875803025,1,1,0.5218941645044328,1.1763476837204987,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,-1.2367242199587352,1,1,-0.07629948862642094,-0.9573266280568612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0.5549717837226001,1,1,0.987155894717319,0.9450120041485275,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1,0,0,0,-1.0738427650786138,1,1,0.7545250296108759,-0.7767611835054562,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,1.5322605130033284,0,0,-0.17599843081489655,0.8222804794901153,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.2774445836787656,1,0,-1.4720846792650797,-0.9983842963778408,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
1,0,1,1,0.758573602322752,1,1,-1.372385737076604,-0.47037385216395244,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
1,0,0,0,1.1657772395230555,1,1,1.552116567118681,2.0284046714569572,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
1,1,0,0,-0.5851984004382496,1,1,-0.20923141154438843,-0.5816268889046714,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.7178532386027215,1,0,-1.5053176599945715,-0.5705898812915048,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,0,1,1,0.22920887396235737,1,0,0.5218941645044328,0.34283286877415986,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
0,1,1,1,-0.015113308357824713,1,1,1.1865537790942702,0.4130282371938992,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,-0.9109613101984924,1,0,-0.30893035373286404,-0.7741123016782963,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0.9621754209229036,1,1,-0.009833527167437194,0.610811413621844,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,-0.7888002190384014,1,0,-1.5053176599945715,-0.8880142202461752,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,1,1,0,0.880734693482843,1,1,1.1533207983647784,1.39311451324309,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0
1,0,1,1,1.6137012404433893,1,0,-1.5053176599945715,-0.40547624739853305,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,1,0,0,-0.5851984004382496,1,1,0.28926329939798967,-0.4072421686166397,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,1,-0.13727439951791576,1,1,-0.1427654500854047,-0.19753902396647502,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,1.3286586944031769,1,0,0.3889622415864653,1.1688425185435454,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1.2064976032430856,1,0,-1.372385737076604,-0.38207779125861996,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1,0,1,0,-1.0738427650786138,1,1,0.5883601259634165,-0.8041329623861093,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,-0.9516816739185228,1,1,-1.5053176599945715,-0.9348111325260013,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,1,1.6137012404433893,1,0,0.05663243429154655,1.093349386469486,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,1.6137012404433893,1,0,0.05663243429154655,1.0942323470785393,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0,1,1,1.6137012404433893,1,0,-1.3391527563471122,-0.24168705441914126,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,0,-1.2774445836787656,1,1,0.8209909910698596,-0.9679221553655011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,0,1,1,0.6771328748826912,1,1,0.9539229139878271,0.9882770739921404,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
0,1,1,0,0.880734693482843,1,1,-1.5385506407240634,-0.552047708501385,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
1,0,1,0,1.4100994218432374,1,0,-1.3391527563471122,-0.30835058040266733,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,0,1,1,1.3286586944031769,1,1,1.518883586389189,2.1913109038272958,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,1,0,0.5956921474426305,1,1,0.6880590681518921,0.7785739293419758,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,-0.015113308357824713,1,0,0.32249628012748155,0.00024415246146977535,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
0,1,1,0,-0.7073594915983407,1,1,0.987155894717319,-0.4399117111516127,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,1,0,1.247217966963116,1,1,0.6548260874224002,1.3666256949714901,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0,0,0,0.26992923768238775,1,0,0.5551271452339247,0.41391119780295255,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,-1.2774445836787656,1,0,-0.10953246935591282,-0.9802836038922477,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,1,1,1.369379058123207,0,0,-0.47509525738032343,0.4779258419593186,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,1,-0.2594354906780068,0,1,-1.1729878526996527,-0.6602103831104174,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0.9621754209229036,1,1,0.1230983957505303,0.7648880399016492,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,0.43281069256250915,1,1,1.3194857020122377,1.0937908667740128,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,0.3106496014024181,1,1,-0.47509525738032343,-0.11409924641093581,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,1,1,-0.1779947632379461,1,0,1.3859516634712215,0.24968052451903408,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
0,0,1,1,1.6137012404433893,1,1,0.6215931066929083,1.6235672322060077,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
0,1,0,0,-0.015113308357824713,1,0,0.8542239717993515,0.27175453974536723,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,1.0843365120829946,1,0,0.8542239717993515,1.285834799243111,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,1,1,1,1.002895784642934,1,1,1.020388875446811,1.450506952831556,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
1,0,0,1,1.4508197855632678,1,1,0.721292048881384,1.5895732487574548,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,-0.015113308357824713,1,0,-0.10953246935591282,-0.18429461483067514,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,-0.4223169455581282,0,0,-0.840658045404734,-0.6323971239252376,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0.9621754209229036,1,1,1.0536218561763027,1.2968718068562775,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,-0.30015585439803716,0,0,-0.10953246935591282,-0.3273342334973138,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
0,0,1,1,1.4508197855632678,1,1,-1.5053176599945715,-0.4368213490199261,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0.22920887396235737,1,1,-0.07629948862642094,0.03203073438738947,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
1,1,1,1,-0.9924020376385531,1,1,0.5218941645044328,-0.7498308849293298,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,-0.9924020376385531,0,1,-1.3059197756176202,-0.9250985658264148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,-0.9924020376385531,1,1,0.05663243429154655,-0.7776441441145096,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,1.002895784642934,0,1,-0.5083282381098153,0.22098430472480102,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.7992939660427822,1,1,0.5218941645044328,0.8898269660826947,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,0,0,-0.21871512695797646,1,0,-1.4720846792650797,-0.7591019713243897,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,1,0,1.6137012404433893,1,0,1.1865537790942702,2.2306026509301686,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,-1.2774445836787656,1,1,-1.4388516985355877,-0.9979428160733141,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
1,0,1,1,0.35136996512244845,1,1,1.253019740553254,0.8527426205024551,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
1,0,1,1,0.9214550572028734,1,0,0.6880590681518921,1.0734827727657863,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,0.758573602322752,1,1,0.6548260874224002,0.8231634400991686,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,0,0,-1.2367242199587352,1,1,-0.27569737300337216,-0.9551192265342279,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,-0.9516816739185228,1,1,0.32249628012748155,-0.694645846863497,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
